year,month,period,rate
2015,3,1,0.0169
2015,3,2,0.0169
2015,3,3,0.018067
2015,3,4,0.019233
2015,3,5,0.0204
2015,3,6,0.0212
2015,3,7,0.0218
2015,3,8,0.0223
2015,3,9,0.0228
2015,3,10,0.0233
2015,3,11,0.0237
2015,3,12,0.023943
2015,3,13,0.024186
2015,3,14,0.024429
2015,3,15,0.024671
2015,3,16,0.024914
2015,3,17,0.025157
2015,3,18,0.0254
2015,3,19,0.0256
2015,3,20,0.0258
2015,3,21,0.026
2015,3,22,0.0262
2015,3,23,0.0262
2015,3,24,0.0262
2015,3,25,0.0262
2015,4,1,0.0117
2015,4,2,0.0144
2015,4,3,0.0167
2015,4,4,0.0183
2015,4,5,0.0195
2015,4,6,0.0204
2015,4,7,0.0212
2015,4,8,0.0219
2015,4,9,0.0224
2015,4,10,0.0229
2015,4,11,0.0233
2015,4,12,0.0237
2015,4,13,0.024
2015,4,14,0.0243
2015,4,15,0.0245
2015,4,16,0.0248
2015,4,17,0.025
2015,4,18,0.0252
2015,4,19,0.0254
2015,4,20,0.0256
2015,4,21,0.0258
2015,4,22,0.0259
2015,4,23,0.0261
2015,4,24,0.0263
2015,4,25,0.0264
2015,5,1,0.012
2015,5,2,0.015
2015,5,3,0.0171
2015,5,4,0.0187
2015,5,5,0.0199
2015,5,6,0.0209
2015,5,7,0.02165
2015,5,8,0.0224
2015,5,9,0.02295
2015,5,10,0.0235
2015,5,11,0.0239
2015,5,12,0.0243
2015,5,13,0.0246
2015,5,14,0.0249
2015,5,15,0.0251
2015,5,16,0.0253
2015,5,17,0.0256
2015,5,18,0.0258
2015,5,19,0.0259
2015,5,20,0.0261
2015,5,21,0.0263
2015,5,22,0.0264
2015,5,23,0.0266
2015,5,24,0.0267
2015,5,25,0.0268
2015,6,1,0.014
2015,6,2,0.0165
2015,6,3,0.0183
2015,6,4,0.0199
2015,6,5,0.0211
2015,6,6,0.0222
2015,6,7,0.023
2015,6,8,0.0237
2015,6,9,0.0243
2015,6,10,0.0248
2015,6,11,0.0252
2015,6,12,0.0256
2015,6,13,0.0259
2015,6,14,0.0261
2015,6,15,0.0264
2015,6,16,0.0266
2015,6,17,0.0268
2015,6,18,0.027
2015,6,19,0.0271
2015,6,20,0.0273
2015,6,21,0.0274
2015,6,22,0.0276
2015,6,23,0.0277
2015,6,24,0.0278
2015,6,25,0.028
2015,7,1,0.0142
2015,7,2,0.0162
2015,7,3,0.0182
2015,7,4,0.0199
2015,7,5,0.02125
2015,7,6,0.0226
2015,7,7,0.0235
2015,7,8,0.0244
2015,7,9,0.0252
2015,7,10,0.0258
2015,7,11,0.0263
2015,7,12,0.0267
2015,7,13,0.0271
2015,7,14,0.0274
2015,7,15,0.0276
2015,7,16,0.0279
2015,7,17,0.0281
2015,7,18,0.0283
2015,7,19,0.0285
2015,7,20,0.0286
2015,7,21,0.0288
2015,7,22,0.02895
2015,7,23,0.0291
2015,7,24,0.0292
2015,7,25,0.0293
2015,8,1,0.0119
2015,8,2,0.015
2015,8,3,0.0169
2015,8,4,0.0188
2015,8,5,0.0206
2015,8,6,0.022
2015,8,7,0.02305
2015,8,8,0.0241
2015,8,9,0.025
2015,8,10,0.0256
2015,8,11,0.0262
2015,8,12,0.0267
2015,8,13,0.0271
2015,8,14,0.0275
2015,8,15,0.0278
2015,8,16,0.0281
2015,8,17,0.0283
2015,8,18,0.0286
2015,8,19,0.0288
2015,8,20,0.029
2015,8,21,0.0291
2015,8,22,0.0293
2015,8,23,0.0294
2015,8,24,0.0295
2015,8,25,0.0297
2015,9,1,0.0103
2015,9,2,0.0143
2015,9,3,0.0163
2015,9,4,0.0184
2015,9,5,0.0203
2015,9,6,0.0218
2015,9,7,0.0231
2015,9,8,0.0241
2015,9,9,0.025
2015,9,10,0.0257
2015,9,11,0.0263
2015,9,12,0.02675
2015,9,13,0.0272
2015,9,14,0.0276
2015,9,15,0.0279
2015,9,16,0.0281
2015,9,17,0.0284
2015,9,18,0.0286
2015,9,19,0.0288
2015,9,20,0.029
2015,9,21,0.0291
2015,9,22,0.0293
2015,9,23,0.0294
2015,9,24,0.0295
2015,9,25,0.0296
2015,10,1,0.0118
2015,10,2,0.0153
2015,10,3,0.017
2015,10,4,0.0188
2015,10,5,0.0205
2015,10,6,0.0218
2015,10,7,0.0228
2015,10,8,0.0238
2015,10,9,0.0246
2015,10,10,0.0252
2015,10,11,0.0258
2015,10,12,0.0262
2015,10,13,0.0266
2015,10,14,0.027
2015,10,15,0.0273
2015,10,16,0.0276
2015,10,17,0.0278
2015,10,18,0.028
2015,10,19,0.0282
2015,10,20,0.0284
2015,10,21,0.02855
2015,10,22,0.0287
2015,10,23,0.0289
2015,10,24,0.029
2015,10,25,0.0292
2015,11,1,0.0163
2015,11,2,0.0183
2015,11,3,0.0194
2015,11,4,0.0207
2015,11,5,0.0219
2015,11,6,0.023
2015,11,7,0.0238
2015,11,8,0.0246
2015,11,9,0.0252
2015,11,10,0.0258
2015,11,11,0.0263
2015,11,12,0.0267
2015,11,13,0.027
2015,11,14,0.0274
2015,11,15,0.0277
2015,11,16,0.02795
2015,11,17,0.0282
2015,11,18,0.0284
2015,11,19,0.0286
2015,11,20,0.0288
